86	129
1	82	1.00
1	25	1.00
1	20	1.00
2	51	1.00
2	60	1.00
2	12	1.00
3	38	1.00
3	28	1.00
3	69	1.00
4	59	1.00
4	43	1.00
4	80	1.00
5	46	1.00
5	16	1.00
5	62	1.00
6	43	1.00
6	61	1.00
6	42	1.00
7	68	1.00
7	85	1.00
7	47	1.00
8	61	1.00
8	75	1.00
8	22	1.00
9	71	1.00
9	74	1.00
9	53	1.00
10	45	1.00
10	59	1.00
10	44	1.00
11	84	1.00
11	83	1.00
11	70	1.00
12	71	1.00
12	75	1.00
13	78	1.00
13	48	1.00
13	42	1.00
14	57	1.00
14	20	1.00
14	31	1.00
15	33	1.00
15	66	1.00
15	81	1.00
16	24	1.00
16	42	1.00
17	51	1.00
17	22	1.00
17	80	1.00
18	40	1.00
18	82	1.00
18	78	1.00
19	34	1.00
19	40	1.00
19	36	1.00
20	28	1.00
21	24	1.00
21	65	1.00
21	30	1.00
22	81	1.00
23	25	1.00
23	80	1.00
23	30	1.00
24	50	1.00
25	85	1.00
26	86	1.00
26	47	1.00
26	32	1.00
27	72	1.00
27	86	1.00
27	41	1.00
28	83	1.00
29	63	1.00
29	73	1.00
29	35	1.00
30	60	1.00
31	56	1.00
31	50	1.00
32	79	1.00
32	60	1.00
33	34	1.00
33	79	1.00
34	41	1.00
35	70	1.00
35	39	1.00
36	72	1.00
36	68	1.00
37	77	1.00
37	65	1.00
37	46	1.00
38	44	1.00
38	74	1.00
39	73	1.00
39	67	1.00
40	56	1.00
41	49	1.00
43	71	1.00
44	57	1.00
45	62	1.00
45	75	1.00
46	84	1.00
47	66	1.00
48	55	1.00
48	81	1.00
49	72	1.00
49	51	1.00
50	84	1.00
52	65	1.00
52	63	1.00
52	67	1.00
53	58	1.00
53	69	1.00
54	76	1.00
54	64	1.00
54	79	1.00
55	76	1.00
55	58	1.00
56	69	1.00
57	67	1.00
58	64	1.00
59	77	1.00
61	62	1.00
63	76	1.00
64	82	1.00
66	83	1.00
68	77	1.00
70	73	1.00
74	78	1.00
85	86	1.00
