224	336
1	33	1.00
1	9	1.00
1	42	1.00
2	144	1.00
2	96	1.00
2	196	1.00
3	43	1.00
3	94	1.00
3	78	1.00
4	145	1.00
4	211	1.00
4	72	1.00
5	187	1.00
5	13	1.00
5	44	1.00
6	145	1.00
6	43	1.00
6	185	1.00
7	53	1.00
7	93	1.00
7	104	1.00
8	155	1.00
8	23	1.00
8	219	1.00
9	12	1.00
9	174	1.00
10	154	1.00
10	150	1.00
10	102	1.00
11	215	1.00
11	207	1.00
11	180	1.00
12	203	1.00
12	138	1.00
13	21	1.00
13	87	1.00
14	69	1.00
14	110	1.00
14	28	1.00
15	65	1.00
15	41	1.00
15	74	1.00
16	210	1.00
16	98	1.00
16	130	1.00
17	139	1.00
17	146	1.00
17	41	1.00
18	24	1.00
18	191	1.00
18	68	1.00
19	100	1.00
19	53	1.00
19	189	1.00
20	58	1.00
20	191	1.00
20	143	1.00
21	183	1.00
21	40	1.00
22	77	1.00
22	137	1.00
22	120	1.00
23	133	1.00
23	112	1.00
24	119	1.00
24	160	1.00
25	188	1.00
25	179	1.00
25	150	1.00
26	204	1.00
26	29	1.00
26	104	1.00
27	47	1.00
27	59	1.00
27	151	1.00
28	74	1.00
28	57	1.00
29	160	1.00
29	99	1.00
30	170	1.00
30	87	1.00
30	138	1.00
31	77	1.00
31	61	1.00
31	117	1.00
32	137	1.00
32	169	1.00
32	206	1.00
33	47	1.00
33	68	1.00
34	71	1.00
34	143	1.00
34	125	1.00
35	67	1.00
35	166	1.00
35	167	1.00
36	39	1.00
36	81	1.00
36	185	1.00
37	81	1.00
37	145	1.00
37	149	1.00
38	178	1.00
38	94	1.00
38	76	1.00
39	75	1.00
39	45	1.00
40	191	1.00
40	53	1.00
41	115	1.00
42	140	1.00
42	163	1.00
43	205	1.00
44	208	1.00
44	207	1.00
45	91	1.00
45	172	1.00
46	168	1.00
46	116	1.00
46	180	1.00
47	48	1.00
48	190	1.00
48	193	1.00
49	80	1.00
49	89	1.00
49	55	1.00
50	70	1.00
50	164	1.00
50	73	1.00
51	124	1.00
51	142	1.00
51	181	1.00
52	112	1.00
52	141	1.00
52	54	1.00
54	100	1.00
54	106	1.00
55	134	1.00
55	213	1.00
56	64	1.00
56	88	1.00
56	121	1.00
57	200	1.00
57	205	1.00
58	138	1.00
58	212	1.00
59	171	1.00
59	95	1.00
60	188	1.00
60	187	1.00
60	165	1.00
61	80	1.00
61	118	1.00
62	224	1.00
62	144	1.00
62	113	1.00
63	130	1.00
63	89	1.00
63	116	1.00
64	130	1.00
64	137	1.00
65	161	1.00
65	83	1.00
66	151	1.00
66	157	1.00
66	224	1.00
67	195	1.00
67	106	1.00
68	69	1.00
69	223	1.00
70	83	1.00
70	182	1.00
71	168	1.00
71	119	1.00
72	174	1.00
72	131	1.00
73	156	1.00
73	112	1.00
74	150	1.00
75	154	1.00
75	156	1.00
76	172	1.00
76	180	1.00
77	92	1.00
78	165	1.00
78	114	1.00
79	128	1.00
79	113	1.00
79	108	1.00
80	160	1.00
81	131	1.00
82	124	1.00
82	84	1.00
82	118	1.00
83	214	1.00
84	91	1.00
84	116	1.00
85	221	1.00
85	99	1.00
85	200	1.00
86	177	1.00
86	117	1.00
86	215	1.00
87	209	1.00
88	97	1.00
88	223	1.00
89	198	1.00
90	143	1.00
90	153	1.00
90	212	1.00
91	177	1.00
92	115	1.00
92	187	1.00
93	157	1.00
93	189	1.00
94	121	1.00
95	147	1.00
95	197	1.00
96	132	1.00
96	178	1.00
97	179	1.00
97	163	1.00
98	166	1.00
98	176	1.00
99	188	1.00
100	176	1.00
101	186	1.00
101	162	1.00
101	215	1.00
102	140	1.00
102	210	1.00
103	149	1.00
103	211	1.00
103	218	1.00
104	152	1.00
105	196	1.00
105	224	1.00
105	125	1.00
106	155	1.00
107	220	1.00
107	208	1.00
107	175	1.00
108	199	1.00
108	200	1.00
109	142	1.00
109	199	1.00
109	154	1.00
110	181	1.00
110	123	1.00
111	161	1.00
111	208	1.00
111	194	1.00
113	219	1.00
114	128	1.00
114	173	1.00
115	181	1.00
117	220	1.00
118	202	1.00
119	159	1.00
120	217	1.00
120	171	1.00
121	192	1.00
122	140	1.00
122	135	1.00
122	125	1.00
123	132	1.00
123	182	1.00
124	159	1.00
126	129	1.00
126	185	1.00
126	127	1.00
127	168	1.00
127	158	1.00
128	164	1.00
129	198	1.00
129	179	1.00
131	206	1.00
132	141	1.00
133	222	1.00
133	173	1.00
134	192	1.00
134	202	1.00
135	146	1.00
135	186	1.00
136	144	1.00
136	183	1.00
136	147	1.00
139	217	1.00
139	142	1.00
141	209	1.00
146	169	1.00
147	213	1.00
148	220	1.00
148	216	1.00
148	175	1.00
149	222	1.00
151	198	1.00
152	193	1.00
152	199	1.00
153	202	1.00
153	216	1.00
155	194	1.00
156	195	1.00
157	174	1.00
158	201	1.00
158	162	1.00
159	163	1.00
161	169	1.00
162	197	1.00
164	189	1.00
165	184	1.00
166	184	1.00
167	201	1.00
167	172	1.00
170	196	1.00
170	214	1.00
171	218	1.00
173	197	1.00
175	211	1.00
176	205	1.00
177	213	1.00
178	219	1.00
182	207	1.00
183	218	1.00
184	214	1.00
186	203	1.00
190	212	1.00
190	210	1.00
192	222	1.00
193	221	1.00
194	216	1.00
195	206	1.00
201	204	1.00
203	209	1.00
204	221	1.00
217	223	1.00
