100	2475
1	5	1
2	5	1
3	5	1
3	6	1
4	6	1
5	6	1
2	7	1
5	7	1
6	7	1
1	8	1
4	8	1
5	8	1
6	8	1
1	9	1
2	9	1
8	9	1
1	10	1
2	10	1
3	10	1
5	10	1
7	10	1
9	10	1
1	11	1
2	11	1
6	11	1
8	11	1
10	11	1
2	12	1
3	12	1
5	12	1
9	12	1
4	13	1
5	13	1
6	13	1
8	13	1
9	13	1
10	13	1
11	13	1
12	13	1
2	14	1
3	14	1
5	14	1
10	14	1
11	14	1
13	14	1
1	15	1
3	15	1
5	15	1
6	15	1
10	15	1
13	15	1
14	15	1
4	16	1
7	16	1
10	16	1
13	16	1
2	17	1
3	17	1
6	17	1
7	17	1
9	17	1
10	17	1
13	17	1
15	17	1
1	18	1
2	18	1
4	18	1
5	18	1
6	18	1
8	18	1
11	18	1
17	18	1
1	19	1
3	19	1
4	19	1
8	19	1
9	19	1
10	19	1
11	19	1
12	19	1
13	19	1
17	19	1
18	19	1
2	20	1
3	20	1
4	20	1
5	20	1
7	20	1
8	20	1
9	20	1
12	20	1
15	20	1
18	20	1
19	20	1
3	21	1
4	21	1
7	21	1
14	21	1
15	21	1
17	21	1
19	21	1
1	22	1
4	22	1
8	22	1
10	22	1
11	22	1
14	22	1
16	22	1
18	22	1
1	23	1
4	23	1
6	23	1
7	23	1
9	23	1
11	23	1
12	23	1
17	23	1
18	23	1
19	23	1
20	23	1
21	23	1
22	23	1
2	24	1
3	24	1
4	24	1
6	24	1
13	24	1
14	24	1
15	24	1
17	24	1
18	24	1
22	24	1
2	25	1
5	25	1
8	25	1
9	25	1
11	25	1
12	25	1
16	25	1
18	25	1
20	25	1
23	25	1
24	25	1
3	26	1
6	26	1
9	26	1
11	26	1
13	26	1
14	26	1
18	26	1
22	26	1
23	26	1
2	27	1
3	27	1
4	27	1
7	27	1
8	27	1
11	27	1
13	27	1
16	27	1
17	27	1
18	27	1
22	27	1
25	27	1
1	28	1
2	28	1
4	28	1
5	28	1
6	28	1
9	28	1
10	28	1
12	28	1
14	28	1
15	28	1
16	28	1
18	28	1
23	28	1
25	28	1
27	28	1
1	29	1
3	29	1
5	29	1
11	29	1
13	29	1
16	29	1
18	29	1
19	29	1
20	29	1
21	29	1
22	29	1
24	29	1
26	29	1
27	29	1
28	29	1
3	30	1
4	30	1
6	30	1
7	30	1
8	30	1
9	30	1
10	30	1
12	30	1
14	30	1
18	30	1
19	30	1
21	30	1
22	30	1
24	30	1
25	30	1
27	30	1
29	30	1
1	31	1
2	31	1
3	31	1
8	31	1
9	31	1
14	31	1
15	31	1
16	31	1
17	31	1
19	31	1
20	31	1
21	31	1
22	31	1
24	31	1
25	31	1
28	31	1
30	31	1
2	32	1
5	32	1
6	32	1
10	32	1
12	32	1
17	32	1
18	32	1
19	32	1
20	32	1
