140	210
1	35	1.00
1	7	1.00
1	110	1.00
2	57	1.00
2	116	1.00
2	59	1.00
3	140	1.00
3	23	1.00
3	124	1.00
4	15	1.00
4	121	1.00
4	11	1.00
5	131	1.00
5	56	1.00
5	12	1.00
6	73	1.00
6	39	1.00
6	67	1.00
7	73	1.00
7	100	1.00
8	9	1.00
8	130	1.00
8	117	1.00
9	97	1.00
9	60	1.00
10	44	1.00
10	103	1.00
10	102	1.00
11	64	1.00
11	81	1.00
12	122	1.00
12	54	1.00
13	96	1.00
13	76	1.00
13	27	1.00
14	46	1.00
14	59	1.00
14	128	1.00
15	103	1.00
15	92	1.00
16	92	1.00
16	108	1.00
16	42	1.00
17	125	1.00
17	122	1.00
17	50	1.00
18	44	1.00
18	31	1.00
18	118	1.00
19	22	1.00
19	48	1.00
19	115	1.00
20	78	1.00
20	129	1.00
20	125	1.00
21	40	1.00
21	77	1.00
21	137	1.00
22	134	1.00
22	74	1.00
23	32	1.00
23	50	1.00
24	84	1.00
24	55	1.00
24	49	1.00
25	91	1.00
25	90	1.00
25	37	1.00
26	115	1.00
26	106	1.00
26	98	1.00
27	81	1.00
27	75	1.00
28	78	1.00
28	75	1.00
28	94	1.00
29	61	1.00
29	89	1.00
29	45	1.00
30	51	1.00
30	50	1.00
30	112	1.00
31	40	1.00
31	52	1.00
32	129	1.00
32	47	1.00
33	83	1.00
33	112	1.00
33	36	1.00
34	97	1.00
34	110	1.00
34	70	1.00
35	99	1.00
35	85	1.00
36	56	1.00
36	135	1.00
37	39	1.00
37	63	1.00
38	72	1.00
38	54	1.00
38	57	1.00
39	46	1.00
40	70	1.00
41	80	1.00
41	93	1.00
41	87	1.00
42	130	1.00
42	67	1.00
43	101	1.00
43	64	1.00
43	100	1.00
44	100	1.00
45	51	1.00
45	116	1.00
46	84	1.00
47	140	1.00
47	102	1.00
48	97	1.00
48	127	1.00
49	81	1.00
49	136	1.00
51	76	1.00
52	95	1.00
52	85	1.00
53	69	1.00
53	138	1.00
53	101	1.00
54	57	1.00
55	102	1.00
55	109	1.00
56	107	1.00
58	82	1.00
58	86	1.00
58	88	1.00
59	118	1.00
60	119	1.00
60	121	1.00
61	111	1.00
61	68	1.00
62	99	1.00
62	116	1.00
62	122	1.00
63	65	1.00
63	104	1.00
64	91	1.00
65	123	1.00
65	86	1.00
66	96	1.00
66	132	1.00
66	126	1.00
67	93	1.00
68	106	1.00
68	130	1.00
69	120	1.00
69	104	1.00
70	99	1.00
71	105	1.00
71	94	1.00
71	135	1.00
72	84	1.00
72	86	1.00
73	117	1.00
74	119	1.00
74	117	1.00
75	136	1.00
76	83	1.00
77	78	1.00
77	136	1.00
79	138	1.00
79	89	1.00
79	137	1.00
80	92	1.00
80	109	1.00
82	120	1.00
82	85	1.00
83	106	1.00
87	108	1.00
87	113	1.00
88	114	1.00
88	131	1.00
89	96	1.00
90	139	1.00
90	95	1.00
91	139	1.00
93	110	1.00
94	107	1.00
95	124	1.00
98	126	1.00
98	113	1.00
101	111	1.00
103	128	1.00
104	105	1.00
105	124	1.00
107	139	1.00
108	133	1.00
109	134	1.00
111	129	1.00
112	114	1.00
113	140	1.00
114	118	1.00
115	137	1.00
119	127	1.00
120	121	1.00
123	127	1.00
123	134	1.00
125	138	1.00
126	132	1.00
128	132	1.00
131	133	1.00
133	135	1.00
