90	135
1	84	1.00
1	18	1.00
1	22	1.00
2	63	1.00
2	14	1.00
2	76	1.00
3	37	1.00
3	18	1.00
3	7	1.00
4	13	1.00
4	9	1.00
4	66	1.00
5	28	1.00
5	35	1.00
5	70	1.00
6	27	1.00
6	26	1.00
6	46	1.00
7	37	1.00
7	43	1.00
8	25	1.00
8	31	1.00
8	22	1.00
9	13	1.00
9	69	1.00
10	41	1.00
10	39	1.00
10	52	1.00
11	29	1.00
11	42	1.00
11	59	1.00
12	82	1.00
12	74	1.00
12	89	1.00
13	69	1.00
14	24	1.00
14	16	1.00
15	48	1.00
15	36	1.00
15	54	1.00
16	56	1.00
16	61	1.00
17	89	1.00
17	77	1.00
17	88	1.00
18	49	1.00
19	27	1.00
19	90	1.00
19	39	1.00
20	42	1.00
20	28	1.00
20	27	1.00
21	50	1.00
21	54	1.00
21	25	1.00
22	87	1.00
23	40	1.00
23	32	1.00
23	88	1.00
24	48	1.00
24	55	1.00
25	30	1.00
26	72	1.00
26	65	1.00
28	73	1.00
29	78	1.00
29	33	1.00
30	72	1.00
30	68	1.00
31	50	1.00
31	77	1.00
32	68	1.00
32	63	1.00
33	57	1.00
33	52	1.00
34	79	1.00
34	85	1.00
34	41	1.00
35	66	1.00
35	38	1.00
36	53	1.00
36	62	1.00
37	85	1.00
38	45	1.00
38	39	1.00
40	59	1.00
40	41	1.00
42	46	1.00
43	87	1.00
43	67	1.00
44	73	1.00
44	47	1.00
44	89	1.00
45	46	1.00
45	81	1.00
47	49	1.00
47	79	1.00
48	84	1.00
49	75	1.00
50	82	1.00
51	71	1.00
51	88	1.00
51	86	1.00
52	78	1.00
53	72	1.00
53	63	1.00
54	78	1.00
55	57	1.00
55	64	1.00
56	64	1.00
56	59	1.00
57	58	1.00
58	71	1.00
58	80	1.00
60	76	1.00
60	62	1.00
60	86	1.00
61	86	1.00
61	87	1.00
62	70	1.00
64	77	1.00
65	83	1.00
65	67	1.00
66	81	1.00
67	75	1.00
68	76	1.00
69	79	1.00
70	83	1.00
71	85	1.00
73	80	1.00
74	83	1.00
74	90	1.00
75	80	1.00
81	84	1.00
82	90	1.00
